15-1-1;14-36-22
15-1-1;23-45-1
15-1-1;27-10-1
15-1-1;24-25-12
15-1-1;24-29-14
15-1-1;24-33-11
15-1-1;20-21-1
15-1-1;14-24-9
15-1-1;14-30-5
15-1-1;17-3-12
15-1-1;17-8-10
15-1-1;27-6-8
15-1-2;14-36-23
15-1-2;11-8-27
15-1-2;11-8-43
15-1-2;19-96-5
15-1-2;23-37-16
15-1-2;19-75-7
15-1-2;24-27-5
15-1-2;27-2-21
15-1-2;27-4-35
15-1-2;27-5-21
15-1-2;23-44-28
15-1-4;12-17-6
15-1-4;24-9-16
15-1-4;2-35-21
15-1-4;13-29-9
15-1-4;15-7-16
15-1-5;14-19-8
15-1-5;26-20-1
15-1-5;16-2-12
15-1-5;50-2-13
15-1-5;14-36-19
15-1-6;16-2-18
15-1-6;23-41-10
15-1-6;20-3-9
15-1-6;47-9-7
15-1-7;15-5-14
15-1-7;15-6-5
15-1-7;12-24-13
15-1-7;14-36-7
15-1-7;14-36-18
15-1-7;27-5-2
15-1-7;27-1-2
15-1-8;15-5-14
15-1-8;15-5-16
15-1-8;37-1-1
15-1-8;37-2-21
15-1-8;37-1-14
15-1-8;38-4-7
15-1-10;14-4-8
15-1-11;37-2-23
15-1-11;12-24-15
15-1-11;14-36-20
15-2-1;16-7-6
15-2-1;12-24-15
15-2-1;12-25-11
15-2-1;12-24-16
15-2-1;14-36-20
15-2-1;25-1-3
15-2-1;5-30-3
15-2-1;19-147-2
15-2-1;24-32-37
15-2-1;26-34-13
15-2-1;15-1-3
15-2-2;15-1-11
15-2-2;16-7-7
15-2-2;37-1-1
15-2-2;37-1-14
15-2-2;37-2-21
15-2-2;40-1-12
15-2-2;15-3-8
15-2-2;15-5-2
15-2-2;37-1-12
15-2-2;37-2-4
15-2-2;38-3-1
15-2-2;16-7-7
15-2-2;15-4-8
15-2-3;15-8-3
15-2-3;16-7-8
15-2-3;16-10-14
15-2-4;15-8-8
15-2-4;16-7-9
15-2-5;16-6-18
15-2-5;16-7-10
15-2-6;15-8-4
15-2-6;15-10-30
15-2-6;16-3-11
15-2-6;16-7-11
15-2-6;16-10-14
15-2-6;15-8-9
15-2-6;16-7-11
15-2-7;15-8-7
15-2-7;15-10-26
15-2-7;16-7-12
15-2-8;15-10-27
15-2-8;16-7-13
15-2-9;16-7-14
15-2-10;15-10-34
15-2-11;15-8-11
15-2-11;16-7-16
15-2-12;15-8-12
15-2-12;16-7-17
15-2-13;16-7-18
15-2-14;15-8-14
15-2-14;16-7-19
15-2-15;15-8-6
15-2-15;16-7-20
15-2-16;16-7-21
15-2-17;16-7-23
15-2-19;15-10-33
15-2-19;16-7-22
15-2-20;16-7-25
15-2-21;9-17-12
15-2-21;13-4-4
15-2-21;16-7-26
15-2-22;13-2-54
15-2-22;16-7-26
15-2-23;6-21-18
15-2-23;16-7-27
15-2-23;24-1-1
15-2-23;24-32-8
15-2-24;16-7-28
15-2-24;16-12-29
15-2-25;6-9-17
15-2-25;16-7-29
15-2-26;6-18-25
15-2-26;11-15-17
15-2-26;16-7-30
15-2-26;16-11-33
15-2-26;6-18-24
15-2-26;38-14-10
15-2-27;9-13-5
15-2-27;16-7-31
15-2-28;16-7-32
15-2-28;16-11-31
15-2-28;1-12-8
15-2-28;6-7-2
15-2-28;6-8-17
15-2-29;15-10-43
15-2-29;16-7-33
15-2-31;16-7-34
15-2-32;15-10-31
15-2-32;16-7-35
15-2-32;16-10-27
15-2-33;13-8-12
15-2-33;16-11-35
15-2-33;16-7-37
15-2-33;16-11-34
15-2-33;16-6-2
15-2-34;11-16-34
15-2-34;16-7-36
15-2-35;16-7-38
15-2-36;4-3-3
15-2-36;13-9-10
15-2-36;13-24-7
15-2-36;16-11-10
15-2-36;13-24-11
15-2-36;16-7-39
15-2-37;13-24-14
15-2-37;15-10-20
15-2-37;16-7-40
15-2-38;13-9-12
15-2-38;15-10-22
15-2-38;16-7-41
15-2-39;13-24-8
15-2-39;15-10-21
15-2-39;16-7-42
15-2-40;4-3-6
15-2-40;16-10-9
15-2-40;16-12-8
15-2-40;16-12-24
15-2-40;15-3-9
15-2-40;16-7-43
15-2-41;13-6-39
15-2-41;13-15-17
15-2-41;13-25-1
15-2-41;16-7-44
15-2-41;16-11-17
15-2-42;24-35-4
15-2-42;16-7-45
15-2-42;13-9-17
15-2-42;16-11-19
15-2-42;16-12-25
15-2-42;16-7-45
15-2-43;6-9-21
15-2-43;6-9-27
15-2-43;13-9-2
15-2-43;15-2-58
15-2-43;16-3-26
15-2-43;16-7-46
15-2-44;16-7-47
15-2-45;16-12-25
15-2-46;16-7-48
15-2-47;16-7-49
15-2-48;16-7-50
15-2-48;15-2-60
15-2-49;16-7-51
15-2-50;16-7-52
15-2-51;16-7-53
15-2-52;16-7-54
15-2-53;16-7-55
15-2-54;16-7-56
15-2-55;11-9-21
15-2-55;16-7-57
15-2-56;16-7-58
15-2-58;15-2-43
15-2-58;16-7-60
15-2-59;16-7-61
15-2-60;16-7-62
15-2-61;13-24-1
15-2-61;13-24-10
15-2-61;16-3-21
15-2-61;16-7-63
15-2-61;10-17-27
15-2-61;10-19-31
15-2-61;11-2-7
15-2-62;4-3-10
15-2-62;4-16-40
15-2-62;4-18-7
15-2-62;16-7-64
15-2-63;16-7-65
15-2-63;3-2-3
15-2-63;3-6-26
15-2-63;4-18-11
15-2-63;2-28-30
15-2-63;3-8-8
15-2-63;4-27-21
15-2-63;5-33-8
15-2-63;9-28-6
15-2-64;15-9-8
15-2-64;16-1-2
15-2-64;23-10-21
15-2-64;16-7-66
15-2-64;24-23-3
15-2-65;14-35-25
15-2-65;16-7-67
15-2-65;19-68-25
15-2-66;16-7-68
15-2-67;16-7-69
15-2-68;15-1-5
15-2-68;13-23-11
15-2-68;15-1-3
15-2-68;15-1-4
15-2-68;2-35-5
15-2-68;13-29-5
15-2-68;16-7-70
15-2-68;47-9-7
15-2-68;13-21-18
15-2-68;14-3-1
15-2-69;16-7-71
15-2-69;15-8-25
15-2-69;16-7-72
15-2-70;15-6-16
15-2-70;15-6-17
15-2-70;16-7-73
15-2-70;16-11-3
15-3-1;3-16-29
15-3-1;11-8-2
15-3-1;16-8-14
15-3-1;44-4-32
15-3-1;23-33-20
15-3-2;37-1-1
15-3-2;15-1-8
15-3-2;37-2-21
15-3-2;42-3-27
15-3-2;13-3-17
15-3-2;40-1-12
15-3-2;2-20-24
15-3-2;2-40-29
15-3-3;13-21-18
15-3-3;15-4-4
15-3-3;19-56-3
15-3-3;20-29-25
15-3-3;4-28-4
15-3-3;4-28-23
15-3-4;16-8-14
15-3-4;43-7-2
15-3-4;2-23-16
15-3-4;3-23-24
15-3-4;3-23-34
15-3-4;4-29-1
15-3-4;4-29-12
15-3-4;2-29-38
15-3-4;3-23-37
15-3-4;4-29-13
15-3-5;2-29-42
15-3-5;4-28-3
15-3-5;4-10-10
15-3-5;14-2-4
15-3-5;19-81-3
15-3-5;51-2-16
15-3-5;3-23-4
15-3-5;14-8-13
15-3-5;3-1-3
15-3-5;4-29-39
15-3-5;5-12-6
15-3-5;14-29-31
15-3-6;4-29-1
15-3-7;12-12-11
15-3-7;12-22-4
15-3-7;11-5-17
15-3-7;14-24-12
15-3-7;14-34-11
15-3-7;15-5-8
15-3-7;11-5-11
15-3-7;14-2-10
15-3-7;1-10-15
15-3-7;7-1-31
15-3-7;11-5-6
15-3-7;13-22-4
15-3-7;11-5-9
15-3-7;6-19-46
15-3-7;14-2-16
15-3-7;15-1-3
15-3-7;15-6-3
15-3-8;11-6-1
15-3-8;13-3-19
15-3-8;15-2-2
15-3-8;13-3-17
15-3-8;40-1-12
15-3-8;37-1-1
15-3-8;5-30-3
15-3-8;16-7-6
15-3-8;36-2-7
15-3-8;13-23-27
15-3-8;13-23-24
15-3-9;15-2-40
15-3-9;16-3-18
15-3-9;16-10-9
15-3-10;38-4-9
15-3-10;2-28-40
15-3-10;9-22-18
15-3-10;4-10-8
15-3-10;13-16-6
15-3-10;14-29-26
15-3-10;13-6-39
15-3-10;13-25-1
15-3-10;14-35-15
15-3-10;13-13-8
15-3-10;14-5-12
15-3-10;13-6-31
15-3-10;13-23-5
15-3-10;14-29-25
15-3-11;2-15-21
15-3-11;16-12-24
15-3-11;13-16-34
15-3-11;14-7-3
15-3-11;19-73-1
15-3-11;19-135-3
15-3-11;19-103-17
15-3-11;42-1-50
15-3-11;19-47-1
15-3-11;23-12-6
15-3-12;15-1-5
15-3-12;15-2-36
15-3-12;13-23-11
15-3-12;13-24-4
15-3-12;11-6-22
15-3-12;37-2-3
15-3-12;19-126-6
15-3-12;38-4-9
15-3-12;16-12-43
15-3-12;19-32-11
15-3-12;19-126-1
15-3-12;23-35-10
15-3-13;19-5-11
15-3-13;38-4-7
15-4-1;15-4-7
15-4-1;15-4-23
15-4-1;16-4-7
15-4-1;16-4-11
15-4-1;5-30-3
15-4-1;12-24-15
15-4-1;15-2-64
15-4-2;15-1-11
15-4-2;15-2-2
15-4-2;15-2-68
15-4-3;38-3-1
15-4-3;15-1-5
15-4-4;15-3-3
15-4-4;16-6-9
15-4-4;37-1-2
15-4-5;16-6-12
15-4-5;15-4-24
15-4-5;15-5-5
15-4-5;15-6-1
15-4-5;27-11-2
15-4-6;19-52-2
15-4-6;19-119-69
15-4-6;66-12-10
15-4-7;12-18-26
15-4-7;27-2-4
15-4-9;15-4-17
15-4-9;15-4-23
15-4-9;1-15-18
15-4-9;5-11-24
15-4-9;10-8-17
15-4-9;14-24-11
15-4-9;1-10-10
15-4-9;26-23-15
15-4-9;16-1-1
15-4-9;17-1-2
15-4-9;27-8-2
15-4-9;1-10-22
15-4-9;23-11-11
15-4-9;24-49-36
15-4-10;12-17-24
15-4-10;12-17-27
15-4-10;12-17-26
15-4-12;16-1-3
15-4-13;12-23-35
15-4-13;16-5-4
15-4-13;45-13-7
15-4-13;15-5-17
15-4-13;15-7-21
15-4-15;17-2-23
15-4-15;17-6-1
15-4-15;24-52-3
15-4-16;5-11-24
15-4-16;10-8-3
15-4-17;15-4-8
15-4-17;15-4-7
15-4-17;15-5-3
15-4-17;15-6-6
15-4-19;15-4-15
15-4-19;15-5-17
15-4-19;15-6-1
15-4-19;20-25-2
15-4-19;12-18-7
15-4-19;12-24-20
15-4-19;26-17-15
15-4-20;10-8-6
15-4-20;11-4-21
15-4-20;13-18-3
15-4-20;14-26-15
15-4-20;1-15-18
15-4-20;10-8-2
15-4-20;13-18-6
15-4-20;14-9-14
15-4-20;14-17-11
15-4-20;14-26-8
15-4-22;15-4-13
15-4-23;15-4-8
15-4-23;15-4-17
15-4-23;15-4-9
15-4-23;15-4-7
15-4-23;33-2-1
15-4-24;15-5-5
15-4-24;15-6-1
15-4-24;37-1-15
15-5-1;37-1-1
15-5-1;38-1-1
15-5-1;16-12-4
15-5-1;16-12-16
15-5-1;24-15-16
15-5-1;33-5-4
15-5-1;37-1-2
15-5-1;37-1-13
15-5-1;38-1-3
15-5-1;38-8-1
15-5-1;37-2-4
15-5-1;38-4-6
15-5-2;15-1-11
15-5-2;15-3-2
15-5-2;40-1-12
15-5-2;15-3-8
15-5-2;38-6-11
15-5-3;15-6-6
15-5-3;15-6-13
15-5-3;5-11-24
15-5-5;14-16-9
15-5-5;19-32-8
15-5-5;19-33-18
15-5-5;19-34-15
15-5-5;60-3-12
15-5-5;15-7-6
15-5-5;15-7-28
15-5-5;15-8-22
15-5-6;15-4-11
15-5-6;15-5-3
15-5-6;15-6-6
15-5-6;6-1-4
15-5-6;15-6-13
15-5-6;15-4-7
15-5-8;16-11-3
15-5-8;17-1-1
15-5-8;1-1-1
15-5-8;5-10-17
15-5-8;5-32-31
15-5-8;15-1-3
15-5-8;19-145-3
15-5-8;27-2-47
15-5-8;27-4-34
15-5-8;27-6-26
15-5-10;15-5-4
15-5-11;19-124-8
15-5-11;23-45-18
15-5-11;32-1-9
15-5-11;66-4-11
15-5-11;11-7-51
15-5-11;14-5-1
15-5-12;12-21-15
15-5-12;14-34-25
15-5-12;16-9-26
15-5-12;23-59-2
15-5-12;24-5-31
15-5-12;27-9-5
15-5-12;5-28-49
15-5-12;5-29-24
15-5-12;5-31-17
15-5-12;5-32-30
15-5-12;11-9-7
15-5-12;12-24-1
15-5-12;12-25-1
15-5-12;12-25-8
15-5-12;24-39-1
15-5-12;14-36-17
15-5-12;12-25-9
15-5-12;12-25-11
15-5-13;15-1-1
15-5-13;15-1-3
15-5-14;12-25-14
15-5-14;12-25-15
15-5-14;14-36-18
15-5-14;24-52-19
15-5-14;14-36-7
15-5-14;20-21-1
15-5-14;15-1-11
15-5-14;37-1-1
15-5-14;37-1-14
15-5-14;37-2-2
15-5-15;15-1-7
15-5-15;15-6-5
15-5-15;15-1-2
15-5-15;15-6-3
15-5-16;15-3-10
15-5-16;37-2-18
15-5-16;38-4-9
15-5-16;15-4-24
15-5-17;15-4-15
15-5-17;20-25-2
15-5-17;14-36-22
15-5-17;15-1-3
15-5-17;15-6-3
15-6-1;17-10-2
15-6-2;17-1-1
15-6-2;27-5-28
15-6-4;15-5-8
15-6-4;15-3-7
15-6-4;15-7-20
15-6-4;19-68-29
15-6-4;23-49-23
15-6-5;15-1-11
15-6-5;15-5-14
15-6-5;27-1-2
15-6-5;27-5-2
15-6-5;12-25-15
15-6-5;14-36-7
15-6-5;14-36-18
15-6-5;24-52-19
15-6-5;15-5-15
15-6-6;15-5-3
15-6-6;10-8-3
15-6-6;15-5-6
15-6-6;15-6-13
15-6-6;15-4-9
15-6-7;44-5-38
15-6-8;15-4-21
15-6-9;3-1-5
15-6-9;3-1-10
15-6-9;3-9-2
15-6-9;4-28-3
15-6-9;4-29-2
15-6-9;2-29-2
15-6-9;3-2-1
15-6-9;3-2-13
15-6-9;4-15-5
15-6-9;4-15-7
15-6-9;2-27-20
15-6-9;3-2-4
15-6-9;13-9-29
15-6-10;2-29-38
15-6-10;4-28-3
15-6-10;3-1-9
15-6-10;15-7-23
15-6-10;24-29-7
15-6-10;54-2-2
15-6-11;15-7-26
15-6-11;17-7-10
15-6-11;1-40-19
15-6-11;5-21-22
15-6-11;27-2-5
15-6-12;2-20-24
15-6-12;5-12-5
15-6-12;14-7-16
15-6-12;19-132-14
15-6-12;19-5-10
15-6-13;12-23-29
15-6-13;15-5-6
15-6-14;15-3-8
15-6-14;15-4-3
15-6-14;15-5-2
15-6-14;15-5-1
15-6-14;37-1-12
15-6-14;38-1-1
15-6-14;38-6-15
15-6-14;38-1-7
15-6-14;23-44-28
15-6-14;37-1-8
15-6-14;14-36-23
15-6-14;15-1-3
15-6-14;15-5-13
15-6-14;15-6-12
15-6-14;15-7-13
15-6-15;17-9-1
15-6-16;13-9-2
15-6-16;16-7-73
15-6-16;12-24-15
15-6-16;15-4-1
15-6-16;16-1-2
15-6-16;11-8-63
15-6-17;14-7-5
15-6-18;13-23-6
15-6-18;4-3-6
15-6-19;2-12-14
15-6-19;2-12-2
15-6-19;3-23-5
15-6-19;5-16-1
15-6-19;17-3-7
15-6-20;2-30-20
15-6-20;3-21-8
15-6-20;3-22-3
15-6-20;2-12-5
15-6-21;2-12-48
15-6-22;2-12-17
15-6-22;3-23-6
15-6-22;15-7-27
15-6-22;20-16-7
15-6-22;20-21-1
15-7-1;15-6-14
15-7-1;16-2-1
15-7-1;15-7-6
15-7-1;16-8-2
15-7-1;16-12-26
15-7-1;13-6-14
15-7-1;12-22-8
15-7-2;13-6-12
15-7-2;10-8-17
15-7-2;11-2-35
15-7-2;16-11-11
15-7-3;13-6-11
15-7-3;13-6-10
15-7-3;14-31-10
15-7-3;13-6-7
15-7-4;13-6-6
15-7-4;13-6-51
15-7-4;13-6-5
15-7-5;13-6-4
15-7-5;2-6-25
15-7-5;4-25-11
15-7-5;7-20-28
15-7-5;2-6-23
15-7-5;4-3-32
15-7-5;5-10-6
15-7-5;6-14-1
15-7-5;13-24-1
15-7-5;2-7-1
15-7-5;2-28-1
15-7-5;58-5-4
15-7-6;16-8-1
15-7-6;16-8-4
15-7-6;5-4-5
15-7-6;5-5-1
15-7-6;5-28-1
15-7-6;16-1-11
15-7-6;16-2-8
15-7-7;15-8-15
15-7-7;15-8-18
15-7-7;13-6-32
15-7-7;13-9-22
15-7-7;13-9-26
15-7-7;13-9-2
15-7-7;15-7-24
15-7-7;15-8-20
15-7-7;15-6-14
15-7-9;15-8-22
15-7-10;5-30-6
15-7-10;14-19-3
15-7-10;19-78-8
15-7-10;19-1-2
15-7-10;19-19-7
15-7-10;5-5-1
15-7-10;5-17-10
15-7-10;5-33-10
15-7-10;39-2-7
15-7-10;5-12-1
15-7-10;20-29-4
15-7-10;23-1-17
15-7-10;38-7-9
15-7-11;15-7-6
15-7-12;15-6-14
15-7-12;16-2-1
15-7-12;27-2-37
15-7-12;15-5-11
15-7-12;15-5-7
15-7-13;15-5-17
15-7-13;17-9-30
15-7-13;5-30-3
15-7-13;15-1-3
15-7-14;17-1-14
15-7-14;15-6-1
15-7-14;5-17-18
15-7-14;12-22-8
15-7-14;15-5-8
15-7-14;27-2-47
15-7-15;15-6-4
15-7-15;19-68-29
15-7-15;19-9-11
15-7-15;19-76-2
15-7-15;19-135-21
15-7-16;15-8-25
15-7-16;15-1-6
15-7-17;3-1-5
15-7-17;3-1-10
15-7-17;4-28-3
15-7-17;4-15-4
15-7-17;3-23-13
15-7-18;12-22-7
15-7-18;49-5-17
15-7-19;15-1-7
15-7-19;15-8-30
15-7-19;24-3-17
15-7-20;15-6-4
15-7-20;15-6-8
15-7-21;15-6-12
15-7-21;21-8-4
15-7-21;15-6-8
15-7-21;6-1-4
15-7-21;11-4-24
15-7-21;15-4-20
15-7-21;15-7-6
15-7-21;16-8-2
15-7-22;11-16-24
15-7-22;11-4-22
15-7-22;26-45-14
15-7-22;26-45-11
15-7-22;4-15-5
15-7-22;2-27-20
15-7-22;3-2-1
15-7-22;3-2-13
15-7-23;19-119-4
15-7-23;49-6-6
15-7-23;51-3-23
15-7-23;15-1-2
15-7-23;23-40-22
15-7-23;1-12-3
15-7-23;15-6-10
15-7-23;23-60-12
15-7-25;20-2-6
15-7-25;59-1-5
15-7-25;2-18-22
15-7-25;5-16-18
15-7-25;14-19-8
15-7-26;5-4-8
15-7-26;15-6-11
15-7-26;1-4-11
15-7-26;2-22-6
15-7-27;5-1-11
15-7-27;15-6-22
15-7-27;20-21-1
15-7-27;23-60-13
15-7-28;15-9-9
15-7-28;16-1-11
15-7-28;15-7-14
15-7-28;17-1-14
15-7-28;15-5-5
15-7-28;15-8-18
15-7-28;16-2-8
15-8-1;13-24-31
15-8-1;13-4-33
15-8-1;13-9-1
15-8-1;15-7-7
15-8-2;13-6-4
15-8-2;13-6-16
15-8-2;2-6-23
15-8-2;16-10-6
15-8-2;13-3-1
15-8-3;16-10-14
15-8-4;15-2-6
15-8-4;16-10-14
15-8-5;15-2-8
15-8-5;15-10-27
15-8-6;15-2-15
15-8-6;16-10-16
15-8-7;15-2-7
15-8-8;15-2-4
15-8-8;16-7-9
15-8-10;16-7-15
15-8-10;16-10-14
15-8-11;15-2-11
15-8-11;15-10-28
15-8-12;15-2-12
15-8-12;16-10-15
15-8-13;16-7-18
15-8-14;15-2-14
15-8-16;14-17-9
15-8-17;10-14-19
15-8-17;24-1-9
15-8-17;15-2-43
15-8-17;4-8-26
15-8-17;4-18-6
15-8-17;13-23-32
15-8-18;15-7-28
15-8-18;20-3-6
15-8-18;20-12-8
15-8-18;24-3-15
15-8-18;4-3-20
15-8-18;13-6-16
15-8-18;15-8-24
15-8-19;13-6-16
15-8-21;27-10-12
15-8-21;59-4-10
15-8-21;19-27-11
15-8-21;23-30-21
15-8-21;4-14-3
15-8-22;19-33-16
15-8-22;19-33-17
15-8-22;28-1-7
15-8-22;14-16-9
15-8-22;15-7-6
15-8-22;15-7-28
15-8-22;38-4-6
15-8-22;45-8-28
15-8-22;6-23-16
15-8-22;19-21-9
15-8-22;19-90-11
15-8-22;14-15-2
15-8-22;19-73-27
15-8-23;16-9-1
15-8-23;17-4-16
15-8-23;42-2-37
15-8-23;24-29-12
15-8-23;24-50-4
15-8-23;5-4-29
15-8-23;13-5-20
15-8-23;14-7-14
15-8-23;40-7-7
15-8-24;15-8-18
15-8-24;15-8-19
15-8-24;16-12-21
15-8-25;15-7-19
15-8-25;15-7-15
15-8-25;15-7-14
15-8-25;15-7-16
15-8-26;11-16-24
15-8-30;19-122-9
15-8-31;15-8-15
15-8-31;15-8-21
15-8-31;2-12-2
15-8-31;17-3-7
15-8-31;19-34-19
15-8-32;15-7-8
15-8-33;15-8-29
15-8-33;14-36-18
15-8-33;15-7-19
15-8-33;16-3-4
15-8-33;16-3-21
15-8-33;16-8-7
15-8-33;16-12-8
15-8-35;5-30-3
15-8-35;14-36-20
15-8-35;3-1-3
15-8-35;14-29-31
15-8-35;3-1-5
15-8-35;15-7-17
15-8-35;3-1-10
15-8-35;3-22-19
15-8-35;15-6-17
15-8-36;15-7-21
