53-1-1;47-1-19
53-1-4;47-7-14
53-1-4;52-2-19
53-1-5;66-16-7
53-1-8;58-10-30
53-1-8;43-3-19
53-1-8;45-1-18
53-1-8;45-2-8
53-1-8;58-10-29
53-1-8;60-4-17
53-1-9;61-2-17
53-1-9;61-3-7
53-1-9;65-1-13
53-1-9;23-2-21
53-1-10;45-8-17
53-2-1;40-24-3
53-2-1;40-24-31
53-2-1;52-4-17
53-2-4;42-11-23
53-2-7;44-20-29
53-2-7;46-11-19
53-2-7;62-2-18
53-2-7;55-4-6
53-2-7;61-1-14
53-2-8;23-11-4
53-2-8;66-19-15
53-2-8;54-6-15
53-2-8;55-4-1
53-2-8;55-4-8
53-2-8;39-3-2
53-2-8;41-8-38
53-2-8;53-1-7
53-2-9;43-8-44
53-2-9;47-11-3
53-2-9;49-2-2
53-2-9;40-24-24
53-2-10;40-24-11
53-2-10;47-11-13
53-2-10;24-17-13
53-2-10;66-22-15
53-2-10;40-24-12
53-2-10;65-1-19
53-2-10;54-2-4
53-2-11;40-24-5
53-2-11;54-4-1
53-2-11;55-4-4
53-2-12;45-1-25
53-2-12;20-1-32
53-2-12;45-1-18
53-2-12;65-1-4
53-2-15;45-12-9
53-2-15;46-15-58
53-2-15;46-16-13
53-2-16;62-4-10
53-2-16;60-1-3
53-3-1;45-15-30
53-3-1;52-5-25
53-3-1;58-13-18
53-3-1;23-38-4
53-3-1;44-8-25
53-3-1;44-15-35
53-3-1;52-1-8
53-3-1;60-1-25
53-3-1;44-19-20
53-3-2;23-25-4
53-3-2;47-1-8
53-3-2;66-2-10
53-3-2;44-28-24
53-3-2;45-10-16
53-3-4;48-5-10
53-3-8;44-20-34
53-3-8;44-18-3
53-3-8;46-4-12
53-3-9;40-10-10
53-3-9;46-9-6
53-3-12;49-4-28
53-3-14;53-3-6
53-3-14;55-2-18
53-3-14;3-19-17
53-3-14;45-16-17
53-3-14;45-16-17
53-3-14;46-5-11
53-3-14;56-3-10
53-3-14;63-1-10
53-3-14;56-2-8
53-3-15;52-5-14
53-3-15;56-3-10
53-3-17;46-16-21
53-3-17;51-4-18
53-3-18;43-1-16
