52-1-1;44-15-27
52-1-1;53-1-1
52-1-1;60-5-12
52-1-1;44-16-1
52-1-1;43-17-21
52-1-8;23-39-5
52-1-8;23-66-5
52-1-8;60-1-23
52-1-10;56-2-13
52-1-10;44-1-11
52-1-10;44-2-24
52-1-10;52-5-2
52-1-10;61-3-12
52-1-10;66-6-17
52-2-2;44-16-22
52-2-2;44-16-37
52-2-3;52-4-7
52-2-4;54-1-11
52-2-4;56-1-3
52-2-4;48-1-10
52-2-4;20-17-3
52-2-4;24-11-20
52-2-4;46-4-5
52-2-5;20-28-23
52-2-5;20-29-5
52-2-6;43-5-41
52-2-6;43-5-44
52-2-13;52-1-2
52-2-15;44-2-23
52-2-15;40-5-12
52-2-15;44-7-52
52-2-15;40-23-34
52-2-15;44-21-13
52-2-16;42-11-52
52-2-16;44-13-50
52-2-16;45-10-9
52-2-16;1-15-16
52-2-16;40-23-32
52-2-16;45-1-18
52-2-19;50-4-1
52-2-19;53-1-4
52-3-1;44-17-15
52-3-2;44-16-1
52-3-2;45-16-21
52-3-2;46-16-10
52-3-2;40-24-14
52-3-2;53-1-8
52-3-2;66-14-6
52-3-3;44-14-22
52-3-3;49-3-13
52-3-7;47-7-6
52-3-10;55-1-3
52-3-11;53-2-16
52-4-5;46-6-18
52-4-5;49-5-5
52-4-5;46-5-10
52-4-5;49-4-17
52-4-5;19-79-6
52-4-5;60-4-3
52-4-6;5-5-21
52-4-6;46-6-8
52-4-6;46-7-2
52-4-6;19-94-1
52-4-6;53-1-8
52-4-7;3-11-44
52-4-7;46-1-2
52-4-7;58-12-14
52-4-7;60-1-15
52-4-8;42-10-16
52-4-8;46-6-19
52-4-8;26-37-14
52-4-8;62-3-24
52-4-9;43-13-34
52-4-9;43-13-35
52-4-9;45-12-10
52-4-14;45-14-9
52-4-14;46-15-4
52-4-14;46-15-23
52-4-14;50-3-21
52-4-14;53-2-1
52-4-14;66-20-4
52-4-16;44-1-11
52-4-16;65-1-9
52-4-16;40-24-31
52-4-16;46-15-52
52-4-17;55-4-8
52-4-17;44-1-9
52-4-17;47-5-8
52-4-17;50-1-23
52-4-17;40-26-64
52-4-17;43-12-26
52-4-17;43-17-24
52-4-17;53-2-1
52-4-17;43-14-3
52-4-17;66-20-6
52-5-1;27-2-21
52-5-1;27-7-25
52-5-1;44-1-7
52-5-1;45-13-11
52-5-3;24-8-9
52-5-3;24-8-11
52-5-3;19-37-10
52-5-3;53-1-9
52-5-3;19-48-6
52-5-3;28-13-13
52-5-3;58-2-3
52-5-3;58-12-25
52-5-6;49-5-14
52-5-6;45-13-11
52-5-6;46-11-30
52-5-6;40-24-42
52-5-6;60-5-8
52-5-7;49-5-14
52-5-7;45-13-13
52-5-8;49-6-14
52-5-8;49-6-16
52-5-8;49-6-17
52-5-8;45-8-24
52-5-9;45-9-22
52-5-9;53-2-13
52-5-9;55-2-10
52-5-10;45-5-8
52-5-10;46-15-3
52-5-10;47-5-15
52-5-10;52-4-17
52-5-11;23-35-3
52-5-11;45-1-12
52-5-11;45-15-2
52-5-13;23-32-2
52-5-13;50-2-29
52-5-13;54-5-17
52-5-13;58-13-7
52-5-13;41-9-50
52-5-13;47-13-11
52-5-13;58-12-14
52-5-13;60-3-11
52-5-15;20-20-22
52-5-15;40-5-39
52-5-15;45-12-19
52-5-15;45-12-17
52-5-16;47-6-10
52-5-16;50-4-4
52-5-17;42-18-1
52-5-17;45-12-12
52-5-18;49-5-20
52-5-18;51-3-17
52-5-19;49-4-30
52-5-20;46-14-1
52-5-21;62-4-1
52-5-21;58-10-23
52-5-22;18-2-3
52-5-23;45-15-33
52-5-25;45-15-30
52-5-26;45-16-16
52-5-26;46-16-20
52-5-26;47-13-12
52-5-28;45-16-20
