31-1-2;24-49-15
31-1-2;24-49-8
31-1-3;20-16-18
31-1-3;24-49-16
31-1-3;39-1-4
31-1-3;14-25-12
31-1-4;24-49-16
31-1-4;30-9-2
31-1-5;24-49-9
31-1-5;5-24-21
31-1-5;23-17-6
31-1-6;24-49-10
31-1-7;24-27-6
31-1-7;25-1-19
31-1-7;26-23-22
31-1-7;24-38-22
31-1-7;24-49-7
31-1-9;19-76-7
31-1-9;24-49-22
31-1-9;1-36-11
31-1-9;26-25-13
31-1-9;30-1-12
31-1-9;23-34-6
31-1-9;23-34-5
31-1-10;1-27-42
31-1-10;4-20-20
31-1-10;19-83-5
31-1-10;19-137-7
31-1-10;29-3-19
31-1-10;30-1-11
31-1-10;24-49-13
31-1-10;39-1-3
31-1-10;39-1-4
31-1-11;12-24-10
31-1-11;12-25-5
31-1-11;24-52-28
31-1-11;12-25-4
31-1-11;29-3-3
31-1-12;33-4-11
31-1-12;20-17-5
31-1-12;20-24-17
31-1-12;25-4-21
31-1-13;38-1-15
31-1-13;19-137-7
31-1-13;26-25-12
31-1-14;19-83-4
31-1-14;30-1-11
31-1-14;24-30-7
31-1-15;24-9-25
31-1-15;24-25-32
31-1-15;24-49-12
31-1-15;29-3-14
31-1-15;33-5-15
31-1-15;61-3-10
31-1-15;26-35-15
31-1-15;40-7-2
31-1-15;24-30-23
31-1-15;53-1-6
31-1-15;59-2-13
31-1-17;29-2-32
31-1-17;23-4-3
31-1-17;38-8-3
31-1-17;23-14-2
31-1-17;26-35-10
31-1-17;30-9-12
31-1-18;23-10-17
31-1-18;38-12-6
31-1-18;23-5-24
31-1-18;24-49-18
31-1-18;26-35-15
31-1-18;31-1-9
31-1-19;23-11-14
31-1-19;30-9-12
31-1-19;30-1-8
31-1-19;24-31-6
31-1-19;12-17-24
31-1-19;6-13-25
31-1-20;19-122-7
31-1-20;1-13-7
31-1-20;38-14-21
31-1-20;11-17-9
31-1-20;42-4-26
31-1-20;24-13-19
31-1-20;24-33-13
31-1-21;16-9-27
31-1-21;19-2-6
31-1-21;23-19-20
31-1-21;66-7-4
31-1-21;24-31-6
31-1-21;29-2-32
31-1-21;19-149-7
31-1-21;26-35-11
31-1-21;19-22-28
31-1-21;38-14-9
