64-1-1;60-5-1
64-1-1;63-1-1
64-1-1;60-1-22
64-1-1;60-2-17
64-1-2;54-6-2
64-1-2;57-1-1
64-1-2;46-16-2
64-1-2;44-15-29
64-1-2;46-14-20
64-1-3;63-1-4
64-1-4;46-4-15
64-1-4;55-1-2
64-1-4;56-1-4
64-1-4;57-1-10
64-1-5;40-25-38
64-1-5;58-13-2
64-1-6;44-20-38
64-1-6;56-3-13
64-1-7;46-9-12
64-1-7;46-9-15
64-1-8;40-10-41
64-1-8;40-25-35
64-1-8;44-17-7
64-1-8;57-1-22
64-1-8;60-4-9
64-1-8;45-12-13
64-1-9;40-20-27
64-1-9;44-20-30
64-1-9;50-2-3
64-1-9;51-4-16
64-1-9;45-12-10
64-1-9;58-13-7
64-1-9;58-13-17
64-1-10;46-4-19
64-1-10;47-13-2
64-1-10;19-101-5
64-1-10;20-6-19
64-1-10;49-6-21
64-1-10;50-2-19
64-1-10;51-4-7
64-1-10;47-7-15
64-1-10;55-4-15
64-1-10;40-24-49
64-1-11;45-12-9
64-1-11;45-13-3
64-1-11;60-3-11
64-1-11;62-3-6
64-1-11;62-3-9
64-1-11;62-3-10
64-1-12;54-3-7
64-1-12;43-19-35
64-1-12;43-21-24
64-1-13;63-1-12
64-1-14;48-4-20
