2-5-1;2-7-10
2-5-1;19-119-46
2-5-1;2-10-9
2-5-2;2-7-5
2-5-2;2-9-16
2-5-2;9-25-10
2-5-2;12-18-35
2-5-2;18-21-15
2-5-2;45-1-21
2-5-2;9-2-12
2-5-2;43-16-3
2-5-2;53-1-8
2-5-2;2-3-19
2-5-2;2-7-3
2-5-3;2-3-18
2-5-3;45-3-29
2-5-3;1-46-1
2-5-3;2-8-27
2-5-3;5-28-21
2-5-3;12-17-25
2-5-5;2-1-9
2-5-6;2-3-7
2-5-9;12-18-20
2-5-9;24-43-2
2-5-10;2-1-11
2-5-10;2-3-7
2-5-13;2-3-9
2-5-14;5-29-10
2-5-14;2-2-11
2-5-14;44-7-24
2-5-15;4-11-16
2-5-15;43-18-12
2-5-16;19-37-12
2-5-19;2-5-7
2-5-20;2-7-1
2-5-22;2-17-4
2-5-22;24-12-1
2-5-22;4-11-11
2-5-22;9-30-6
2-5-22;2-3-12
2-5-23;2-5-1
2-5-23;2-5-9
2-5-23;2-3-8
2-6-1;2-12-29
2-6-1;2-14-13
2-6-1;19-12-5
2-6-1;2-9-3
2-6-1;2-11-1
2-6-1;2-12-31
2-6-2;23-43-11
2-6-3;1-18-1
2-6-3;1-26-2
2-6-3;1-28-13
2-6-3;1-17-1
2-6-3;1-35-11
2-6-3;2-10-2
2-6-3;19-83-18
2-6-3;42-11-2
2-6-3;43-12-28
2-6-3;44-15-14
2-6-3;66-15-3
2-6-3;1-12-8
2-6-3;1-27-27
2-6-3;1-28-16
2-6-3;10-7-23
2-6-3;19-9-16
2-6-3;23-52-6
2-6-3;24-16-21
2-6-3;24-32-20
2-6-4;1-15-18
2-6-4;1-28-4
2-6-5;2-2-24
2-6-5;1-17-7
2-6-9;2-5-21
2-6-11;2-1-8
2-6-11;2-3-10
2-6-11;2-5-1
2-6-12;2-5-21
2-6-12;2-6-9
2-6-12;2-5-2
2-6-13;2-7-4
2-6-13;2-9-13
2-6-14;1-49-3
2-6-14;1-46-9
2-6-14;4-26-7
2-6-14;6-13-15
2-6-15;13-4-24
2-6-15;4-26-14
2-6-15;6-21-9
2-6-16;1-29-34
2-6-16;13-6-1
2-6-16;4-26-57
2-6-16;1-46-11
2-6-17;13-23-7
2-6-17;4-3-18
2-6-18;4-3-19
2-6-18;13-23-12
2-6-19;4-3-20
2-6-19;13-23-21
2-6-20;2-2-1
2-6-20;4-26-59
2-6-20;13-23-13
2-6-21;4-16-1
2-6-21;4-16-32
2-6-21;4-26-10
2-6-22;3-10-4
2-6-22;4-3-30
2-6-23;8-4-20
2-6-23;40-1-4
2-6-23;4-3-2
2-6-24;4-26-11
2-6-24;13-6-37
2-6-24;4-26-58
2-6-24;13-9-19
2-6-25;4-3-32
2-6-25;4-25-7
2-6-25;4-31-6
2-6-25;6-22-31
2-6-25;7-20-28
2-6-26;6-24-5
2-6-26;9-12-6
2-6-27;2-33-1
2-6-27;19-77-20
2-6-27;33-6-4
2-6-28;2-6-1
2-6-29;2-6-2
2-6-30;2-4-10
2-6-30;2-6-12
2-7-1;2-4-16
2-7-1;19-82-6
2-7-1;2-4-15
2-7-1;2-4-30
2-7-2;2-4-12
2-7-2;2-4-15
2-7-2;2-6-11
2-7-3;2-4-21
2-7-3;2-8-15
2-7-3;2-9-12
2-7-3;45-9-18
2-7-3;2-3-20
2-7-3;2-11-9
2-7-3;19-105-27
2-7-3;44-7-36
2-7-5;2-3-19
2-7-5;2-8-19
2-7-5;2-8-22
2-7-5;2-14-4
2-7-5;19-83-18
2-7-5;2-3-20
2-7-7;5-34-7
2-7-7;44-7-23
2-7-11;1-41-8
2-7-11;23-19-11
2-7-11;24-27-9
2-7-11;27-2-2
2-7-11;55-3-8
2-7-11;66-21-8
2-7-11;2-7-22
2-7-11;2-8-18
2-7-11;2-9-11
2-7-11;44-8-9
2-7-11;53-2-9
2-7-13;2-4-21
2-7-13;2-7-3
2-7-13;2-8-15
2-7-13;45-9-18
2-7-14;2-10-1
2-7-14;9-6-6
2-7-14;2-10-20
2-7-15;2-2-5
2-7-15;2-8-20
2-7-15;2-9-13
2-7-15;2-4-3
2-7-16;2-3-18
2-7-16;2-9-1
2-7-16;45-3-29
2-7-16;2-5-1
2-7-17;11-20-28
2-7-17;2-7-5
2-7-17;2-8-22
2-7-17;26-25-17
2-7-17;2-4-9
2-7-17;19-78-44
2-7-18;19-105-29
2-7-18;23-50-2
2-7-18;2-7-24
2-7-19;2-9-22
2-7-19;2-10-12
2-7-19;2-14-21
2-7-19;2-8-5
2-7-20;2-7-6
2-7-20;2-12-28
2-7-20;2-4-28
2-7-20;2-17-5
2-7-20;19-78-44
2-7-21;19-105-29
2-7-21;2-7-18
2-7-21;2-7-24
2-7-22;2-7-11
2-7-22;2-8-7
2-7-22;27-1-20
2-7-22;44-8-9
2-7-22;47-11-14
2-7-22;55-3-8
2-7-22;2-4-21
2-7-22;2-8-15
2-7-22;45-9-18
2-7-22;2-3-19
2-7-23;2-9-21
2-7-23;20-29-1
2-7-23;24-5-3
2-7-24;2-7-18
2-8-1;2-3-12
2-8-1;2-5-1
2-8-2;2-12-12
2-8-2;6-24-5
2-8-2;19-78-45
2-8-4;27-4-37
2-8-5;2-4-20
2-8-5;2-17-9
2-8-7;2-7-11
2-8-7;2-7-22
2-8-7;2-8-18
2-8-7;55-3-8
2-8-8;1-20-7
2-8-8;2-10-17
2-8-8;4-21-7
2-8-8;11-13-6
2-8-8;44-8-24
2-8-8;2-8-15
2-8-8;2-8-29
2-8-8;2-10-8
2-8-8;2-12-31
2-8-10;2-9-14
2-8-10;2-15-11
2-8-10;10-7-22
2-8-10;19-83-18
2-8-10;19-86-8
2-8-10;23-46-9
2-8-10;24-10-6
2-8-10;45-9-17
2-8-11;2-8-3
2-8-12;2-8-30
2-8-12;2-9-33
2-8-12;59-5-16
2-8-13;5-34-10
2-8-14;2-7-21
2-8-15;2-4-21
2-8-15;2-7-3
2-8-15;20-21-29
2-8-15;45-9-18
2-8-15;23-26-10
2-8-15;24-34-11
2-8-16;2-17-9
2-8-17;19-105-31
2-8-18;2-7-11
2-8-18;2-9-11
2-8-18;27-1-20
2-8-18;55-3-8
2-8-18;1-41-8
2-8-18;27-2-10
2-8-19;2-31-18
2-8-19;40-12-28
2-8-19;42-11-20
2-8-19;2-12-12
2-8-19;2-14-8
2-8-19;5-2-30
2-8-19;6-11-20
2-8-19;9-6-6
2-8-20;2-7-15
2-8-20;2-8-1
2-8-21;19-78-45
2-8-21;19-105-31
2-8-22;2-9-4
2-8-22;2-10-23
2-8-22;2-11-7
2-8-22;2-12-13
2-8-22;2-7-5
2-8-22;2-8-10
2-8-22;9-17-46
2-8-22;11-20-28
2-8-22;12-19-19
2-8-22;26-34-30
2-8-23;39-3-18
2-8-24;2-8-3
2-8-24;19-78-45
2-8-24;19-105-31
2-8-26;1-43-32
2-8-26;1-46-34
2-8-26;2-10-26
2-8-27;1-8-20
2-8-27;2-3-12
2-8-27;2-3-18
2-8-27;2-5-3
2-8-29;2-8-8
2-8-29;2-8-15
2-8-29;19-78-36
2-8-29;48-6-7
2-8-30;2-9-33
2-8-30;59-5-16
2-8-31;19-65-2
2-8-31;11-13-6
2-8-32;2-4-21
2-8-32;20-28-14
2-8-32;44-28-27
2-8-32;45-2-5
2-8-32;45-9-18
2-9-1;2-5-1
2-9-1;2-8-1
2-9-2;2-4-23
2-9-2;2-8-2
2-9-2;19-68-21
2-9-2;20-6-15
2-9-3;2-7-4
2-9-3;2-8-19
2-9-3;9-5-7
2-9-3;19-39-10
2-9-3;44-13-11
2-9-3;19-78-48
2-9-3;2-9-15
2-9-3;19-78-50
2-9-3;26-14-21
2-9-3;30-4-10
2-9-4;2-8-22
2-9-4;2-10-23
2-9-4;2-11-7
2-9-4;2-12-13
2-9-4;23-65-13
2-9-4;39-3-18
2-9-5;2-8-23
2-9-5;19-76-12
2-9-6;19-78-48
2-9-7;2-4-21
2-9-7;9-6-6
2-9-7;18-9-4
2-9-7;20-29-1
2-9-7;27-5-20
2-9-7;45-9-18
2-9-8;1-11-3
2-9-8;1-19-28
2-9-9;3-13-18
2-9-9;5-28-35
2-9-9;18-2-7
2-9-10;5-28-27
2-9-11;2-7-11
2-9-11;2-8-18
2-9-11;55-3-8
2-9-12;2-4-21
2-9-12;2-8-32
2-9-12;2-14-17
2-9-12;6-11-20
2-9-12;14-36-13
2-9-12;19-75-5
2-9-13;2-7-15
2-9-13;2-7-16
2-9-15;2-3-20
2-9-15;2-9-3
2-9-16;2-14-17
2-9-16;20-16-4
2-9-16;6-2-10
2-9-16;13-16-24
2-9-16;23-63-12
2-9-16;39-1-11
2-9-16;45-9-17
2-9-17;18-9-4
2-9-17;23-37-23
2-9-18;19-78-47
2-9-18;19-105-32
2-9-19;6-10-11
2-9-20;20-22-3
2-9-20;32-3-5
2-9-21;2-7-23
2-9-22;2-7-19
2-9-22;2-8-5
2-9-22;2-10-5
2-9-22;18-38-22
2-9-22;19-78-47
2-9-22;19-105-32
2-9-23;19-148-8
2-9-23;23-30-30
2-9-24;2-9-18
2-9-25;19-105-33
2-9-26;2-8-22
2-9-26;2-9-4
2-9-27;9-26-21
2-9-27;19-12-2
2-9-27;40-27-4
2-9-27;19-129-4
2-9-27;19-145-17
2-9-27;27-9-14
2-9-27;45-2-5
2-9-28;2-8-8
2-9-28;2-10-17
2-9-28;44-8-24
2-9-29;11-8-22
2-9-29;15-9-5
2-9-29;19-143-6
2-9-29;5-10-14
2-9-29;19-24-1
2-9-29;19-50-12
2-9-29;46-10-26
2-9-31;8-1-22
2-9-32;23-28-25
2-9-32;26-4-9
2-9-33;2-10-18
2-9-33;59-5-17
2-9-34;2-4-21
2-9-34;2-8-15
2-9-34;5-2-30
2-9-34;6-11-20
2-9-34;45-9-18
2-9-35;2-7-4
2-9-35;2-8-15
2-10-1;2-4-21
2-10-1;2-9-34
2-10-1;19-7-11
2-10-1;2-7-4
2-10-1;2-9-16
2-10-1;9-4-8
2-10-1;19-78-12
2-10-1;19-135-9
2-10-1;45-9-17
2-10-2;2-13-8
2-10-2;5-4-9
2-10-2;5-6-21
2-10-2;19-44-1
2-10-2;19-78-5
2-10-2;29-1-3
2-10-3;2-9-17
2-10-3;2-16-28
2-10-3;20-18-12
2-10-3;23-2-11
2-10-3;24-13-18
2-10-4;19-78-46
2-10-4;19-105-34
2-10-4;20-30-27
2-10-4;29-1-4
2-10-6;2-9-24
2-10-6;29-2-9
2-10-6;2-11-8
2-10-6;58-11-27
2-10-7;20-29-6
2-10-7;19-107-34
2-10-9;5-31-12
2-10-9;19-148-12
2-10-9;1-46-6
2-10-9;1-50-8
2-10-9;2-10-26
2-10-9;2-3-18
2-10-9;2-5-1
2-10-12;2-7-19
2-10-12;5-28-38
2-10-12;29-2-3
2-10-13;1-41-6
2-10-13;2-14-21
2-10-13;19-78-26
2-10-13;32-4-8
2-10-14;19-78-46
2-10-14;19-105-34
2-10-14;2-10-5
2-10-15;29-1-6
2-10-15;29-2-10
2-10-15;19-105-35
2-10-15;29-1-7
2-10-15;29-2-3
2-10-17;19-76-12
2-10-18;2-8-30
2-10-20;2-7-3
2-10-20;2-11-10
2-10-20;43-12-40
2-10-20;45-9-18
2-10-21;2-8-5
2-10-22;19-105-28
2-10-22;30-5-8
2-10-23;2-8-22
2-10-23;2-9-6
2-10-23;2-9-26
2-10-23;39-3-18
2-10-25;2-3-18
2-10-25;2-5-3
2-10-25;2-8-27
2-10-26;2-12-32
2-10-26;39-1-11
2-10-26;20-3-9
2-10-27;2-4-21
2-10-27;2-14-4
2-10-27;45-9-18
2-10-28;2-10-11
2-10-28;14-16-10
2-10-29;58-11-27
2-11-2;2-3-22
2-11-2;2-12-35
2-11-2;19-105-37
2-11-2;20-13-22
2-11-3;2-3-21
2-11-3;2-12-36
2-11-3;10-7-9
2-11-3;17-9-4
2-11-3;44-7-22
2-11-4;2-12-29
2-11-4;30-4-10
2-11-5;2-4-23
2-11-5;2-13-15
2-11-5;19-78-51
2-11-5;19-105-36
2-11-5;19-136-10
2-11-5;58-11-28
2-11-5;2-12-12
2-11-5;19-135-8
2-11-6;2-12-30
2-11-7;6-10-21
2-11-8;2-12-33
2-11-10;19-135-9
2-11-10;2-4-21
2-11-10;2-9-16
2-11-10;2-10-20
2-11-10;9-6-6
2-11-10;23-26-10
2-12-5;3-22-19
2-12-5;5-17-1
2-12-5;39-1-14
2-12-5;58-7-26
2-12-5;58-9-14
2-12-5;60-1-19
2-12-7;46-5-7
2-12-7;49-1-7
2-12-7;58-11-28
2-12-7;60-1-2
2-12-8;5-16-7
2-12-8;40-26-17
2-12-8;2-13-3
2-12-8;2-34-25
2-12-8;5-16-3
2-12-8;46-5-8
2-12-8;2-1-14
2-12-8;4-9-11
2-12-12;2-11-4
2-12-12;30-5-17
2-12-12;2-11-5
2-12-12;2-12-29
2-12-12;4-33-4
2-12-12;23-19-1
2-12-12;24-43-13
2-12-12;36-2-11
2-12-12;46-8-6
2-12-21;2-3-16
2-12-21;2-19-7
2-12-21;4-11-16
2-12-28;58-11-28
2-12-29;1-15-14
2-12-29;4-33-4
2-12-29;19-78-51
2-12-29;19-105-36
2-12-29;19-136-10
2-12-29;58-11-28
2-12-29;2-11-5
2-12-29;4-3-13
2-12-29;19-135-8
2-12-30;2-11-6
2-12-31;2-10-29
2-12-33;2-12-11
2-12-33;1-20-3
2-12-33;2-10-7
2-12-33;4-17-12
2-12-35;1-15-14
2-12-35;2-3-21
2-12-35;2-11-2
2-12-35;19-105-37
2-12-36;2-11-3
2-12-36;20-16-7
2-12-36;5-15-15
2-12-36;2-3-22
2-12-37;1-47-11
2-12-37;2-1-11
2-12-37;4-33-5
2-12-37;1-12-2
2-12-37;1-15-5
2-12-37;1-46-3
2-12-37;2-1-7
2-12-37;2-38-26
2-12-37;4-2-32
2-12-37;4-11-21
2-12-38;4-11-4
2-12-38;38-8-23
2-12-39;2-6-1
2-12-39;2-11-1
2-12-39;2-12-31
2-12-41;2-7-4
2-12-42;2-12-14
2-12-42;5-16-1
2-12-43;3-23-5
2-12-43;4-9-14
2-12-43;5-16-2
2-12-43;6-5-10
2-12-43;41-14-1
2-12-43;46-5-7
2-12-43;3-22-10
2-12-43;49-2-12
2-12-44;1-17-12
2-12-44;1-17-23
2-12-47;4-9-14
2-12-48;1-17-12
2-12-50;2-7-6
2-12-50;2-39-32
2-12-50;5-12-32
2-12-51;2-6-26
2-12-51;2-13-18
2-13-2;3-27-26
2-13-2;4-3-13
2-13-2;4-18-15
2-13-2;5-15-19
2-13-2;42-2-23
2-13-5;2-3-8
2-13-5;2-34-11
2-13-5;11-9-20
2-13-5;1-15-18
2-13-5;2-6-8
2-13-5;44-7-5
2-13-5;2-3-17
2-13-5;5-6-3
2-13-5;5-8-8
2-13-6;2-12-15
2-13-6;2-34-18
2-13-6;46-5-8
2-13-6;2-10-9
2-13-6;3-23-8
2-13-6;42-22-1
2-13-7;2-23-15
2-13-7;5-16-3
2-13-7;2-12-19
2-13-8;2-12-27
2-13-10;2-12-24
2-13-10;2-23-15
2-13-10;3-23-6
2-13-10;5-16-3
2-13-11;16-9-24
2-13-11;1-15-18
2-13-11;19-105-42
2-13-12;4-3-13
2-13-12;3-27-26
2-13-12;2-22-29
2-13-12;2-34-19
2-13-12;4-8-17
2-13-12;5-15-19
2-13-12;42-2-23
2-13-13;2-34-20
2-13-13;4-18-15
2-13-14;2-12-26
2-13-14;5-6-20
2-13-14;19-145-4
2-13-14;5-26-8
2-13-14;5-7-8
2-13-15;2-5-2
2-13-15;19-78-51
2-13-15;19-135-8
2-13-15;2-11-5
2-13-15;2-12-29
2-13-15;2-13-2
2-13-15;2-13-12
2-13-15;5-21-17
2-13-15;2-6-6
2-13-16;5-6-8
2-13-16;5-11-18
2-13-16;2-6-1
2-13-16;65-1-5
2-13-17;2-14-11
2-13-17;2-16-3
2-13-17;4-14-3
2-13-17;16-9-17
2-13-17;44-7-39
2-13-18;2-14-2
2-13-18;4-33-5
2-13-18;2-12-51
2-13-20;4-33-6
2-13-21;2-14-19
2-13-21;4-9-15
2-13-21;5-1-33
2-13-21;16-9-12
2-13-21;19-99-7
2-13-21;2-14-24
2-13-21;4-14-14
2-13-21;19-78-14
2-13-22;19-105-39
2-13-22;46-10-1
2-14-2;2-13-18
2-14-2;4-33-7
2-14-3;19-71-11
2-14-4;2-4-21
2-14-4;2-7-13
2-14-4;45-9-18
2-14-4;2-9-16
2-14-4;2-15-11
2-14-4;2-18-11
2-14-4;6-2-10
2-14-4;16-9-11
2-14-4;23-2-11
2-14-4;45-9-17
2-14-4;2-7-5
2-14-4;2-8-22
2-14-4;19-83-18
2-14-4;26-26-6
2-14-5;2-12-33
2-14-5;19-105-25
2-14-5;7-6-8
2-14-5;9-2-27
2-14-5;9-6-6
2-14-6;2-14-23
2-14-8;2-7-3
2-14-8;5-2-30
2-14-8;6-11-20
2-14-8;19-10-2
2-14-8;20-16-18
2-14-8;4-33-3
2-14-9;2-15-19
2-14-9;2-15-9
2-14-9;6-24-6
2-14-10;6-24-7
2-14-10;16-9-9
2-14-10;19-34-17
2-14-10;19-107-6
2-14-11;2-16-3
2-14-11;2-17-3
2-14-11;4-14-2
2-14-11;19-106-7
2-14-12;2-5-21
2-14-12;2-6-9
2-14-12;58-3-16
2-14-12;58-10-38
2-14-13;4-14-9
2-14-13;5-20-3
2-14-13;14-20-15
2-14-13;19-27-1
2-14-13;19-46-1
2-14-13;23-41-10
2-14-15;6-7-10
2-14-16;2-4-20
2-14-16;2-17-9
2-14-16;19-78-13
2-14-16;16-9-11
2-14-17;2-4-21
2-14-17;2-7-13
2-14-17;45-9-18
2-14-17;2-9-16
2-14-17;6-24-6
2-14-17;45-9-17
2-14-18;2-14-4
2-14-19;1-48-16
2-14-19;2-32-34
2-14-19;4-20-16
2-14-19;65-1-9
2-14-19;2-13-21
2-14-19;19-34-7
2-14-19;23-52-12
2-14-20;6-24-7
2-14-20;19-105-39
2-14-21;2-14-16
2-14-21;44-7-36
2-14-21;6-2-10
2-14-21;19-66-6
2-14-21;19-106-9
2-14-21;19-114-3
2-14-21;23-51-10
2-14-21;16-9-11
2-14-21;19-78-13
2-14-21;19-136-13
2-14-21;23-63-12
2-14-22;2-15-19
2-14-22;4-33-8
2-14-22;23-63-13
2-14-22;46-10-1
2-14-22;58-11-29
2-14-22;2-15-8
2-14-23;2-14-17
2-14-23;19-10-2
2-14-24;2-13-21
2-14-24;2-23-27
2-14-24;9-5-11
2-14-24;19-18-14
2-14-25;19-76-6
2-14-25;2-14-4
2-14-25;5-3-22
2-14-25;9-4-8
2-14-27;2-15-1
2-14-28;2-15-10
2-14-28;5-11-4
2-14-28;16-9-11
2-14-28;19-78-53
2-14-28;58-11-29
2-14-28;1-15-14
2-14-28;2-14-23
2-14-28;6-24-7
2-14-28;2-14-13
2-14-28;19-106-11
2-14-28;19-136-15
2-14-29;19-66-6
2-14-29;19-77-19
2-14-29;2-14-22
2-14-29;2-15-8
2-14-30;5-4-20
2-14-30;19-106-8
2-14-30;19-58-10
2-14-30;19-59-10
2-14-30;19-91-8
2-14-30;20-16-4
2-14-31;2-4-31
2-14-31;2-19-9
2-14-31;19-106-12
2-15-1;7-5-1
2-15-1;10-22-1
2-15-1;66-15-3
2-15-2;2-17-16
2-15-2;19-18-1
2-15-2;23-12-2
2-15-2;50-4-13
2-15-2;66-7-10
2-15-3;16-4-20
2-15-3;19-24-8
2-15-3;2-6-3
2-15-3;23-42-8
2-15-4;2-14-27
2-15-4;6-24-6
2-15-5;6-24-7
2-15-5;16-9-11
2-15-6;19-17-7
2-15-6;19-60-5
2-15-6;19-89-13
2-15-6;19-118-15
2-15-6;60-5-6
2-15-7;19-148-13
2-15-7;23-5-16
2-15-7;23-37-23
2-15-8;10-22-16
2-15-8;19-18-15
2-15-9;2-14-8
2-15-9;2-14-9
2-15-10;1-8-1
2-15-10;2-14-21
2-15-10;2-14-28
2-15-10;5-11-4
2-15-11;5-3-24
2-15-11;10-7-22
2-15-11;46-8-5
2-15-12;2-15-6
2-15-12;19-78-53
2-15-12;58-11-29
2-15-13;19-106-10
2-15-14;4-14-14
2-15-14;6-2-10
2-15-14;19-99-1
2-15-16;5-11-25
2-15-16;6-2-9
2-15-17;5-4-21
2-15-17;19-44-2
2-15-17;19-78-54
2-15-17;19-80-8
2-15-18;19-10-16
2-15-18;19-146-10
2-15-18;27-4-3
2-15-19;2-14-23
2-15-19;20-21-31
2-15-19;6-24-6
2-15-20;4-26-59
2-15-20;19-81-2
2-15-20;7-11-34
2-15-20;9-18-6
2-15-20;10-6-5
2-15-20;19-150-4
2-15-20;24-31-4
2-15-21;9-18-7
2-15-22;1-16-7
2-15-22;1-25-18
2-15-22;2-17-1
2-15-23;4-33-8
2-15-23;8-1-20
2-15-24;2-16-2
2-15-24;2-17-3
2-15-24;4-11-1
2-15-24;46-10-10
2-15-24;65-1-16
2-15-25;2-17-4
2-15-25;19-50-15
2-15-25;12-2-21
2-15-26;3-26-3
2-15-26;5-28-1
2-15-26;62-5-3
2-15-26;2-9-10
2-15-26;5-7-15
2-15-26;2-23-25
2-15-26;19-103-3
2-15-27;4-33-9
2-16-1;4-33-10
2-16-1;4-33-11
2-16-2;2-15-24
2-16-2;19-106-25
2-16-2;46-10-10
2-16-3;4-14-2
2-16-3;32-4-8
2-16-3;4-11-4
2-16-5;2-35-2
2-16-5;2-16-22
