33-1-1;24-26-18
33-1-1;12-15-7
33-1-1;12-15-32
33-1-1;13-3-12
33-1-1;14-27-1
33-1-1;12-16-2
33-1-1;14-28-1
33-1-1;23-7-1
33-1-1;28-1-1
33-1-1;12-18-1
33-1-1;14-29-1
33-1-1;23-36-1
33-1-1;23-1-1
33-1-1;11-16-24
33-1-1;30-4-1
33-1-1;33-3-10
33-1-3;19-115-3
33-1-3;23-26-21
33-1-3;26-3-12
33-1-3;5-32-13
33-1-3;5-33-29
33-1-3;30-4-13
33-1-4;7-5-5
33-1-4;19-97-5
33-1-4;61-3-10
33-1-5;12-17-7
33-1-5;24-2-17
33-1-5;28-7-1
33-1-5;12-16-4
33-1-6;12-19-25
33-1-6;26-13-14
33-1-6;40-24-2
33-1-7;3-26-30
33-1-7;28-8-6
33-1-7;28-2-5
33-1-7;28-9-1
33-1-7;5-23-18
33-1-8;24-4-19
33-1-8;23-20-2
33-1-9;23-1-5
33-1-9;24-15-18
33-1-9;12-18-13
33-1-9;23-8-8
33-1-9;14-32-2
33-1-9;33-1-12
33-1-11;23-47-3
33-1-11;24-13-26
33-1-11;26-16-37
33-1-12;23-59-9
33-1-12;24-8-15
33-1-12;23-45-7
33-1-12;30-3-6
33-1-13;6-15-39
33-1-13;12-18-14
33-1-13;11-14-16
33-1-13;12-16-3
33-1-13;24-3-8
33-1-14;12-15-19
33-1-14;6-15-44
33-1-15;23-7-17
33-1-15;14-11-8
33-1-15;1-38-1
33-1-15;16-11-30
33-1-16;18-1-20
33-1-16;23-15-2
33-1-16;23-22-12
33-1-16;24-7-29
33-1-16;5-28-41
33-1-16;12-17-6
33-1-16;23-39-7
33-2-1;17-3-8
33-2-1;19-36-4
33-2-1;42-22-2
33-2-1;28-7-6
33-2-1;40-27-1
33-2-1;44-23-12
33-2-1;1-31-29
33-2-1;11-21-7
33-2-1;43-19-10
33-2-2;2-20-17
33-2-2;11-21-2
33-2-2;16-5-11
33-2-2;23-5-8
33-2-2;26-22-29
33-2-2;24-22-17
33-2-2;26-18-12
33-2-2;26-22-12
33-2-2;16-5-5
33-2-3;24-8-3
33-2-3;30-3-1
33-2-3;24-18-11
33-2-3;59-2-13
33-2-5;4-26-55
33-2-5;19-78-55
33-2-7;24-2-4
33-2-7;5-32-4
33-2-7;23-50-2
33-2-7;19-19-7
33-2-7;19-33-4
33-2-7;24-15-16
33-2-7;19-15-2
33-2-7;20-2-7
33-2-8;23-9-21
33-2-10;6-23-15
33-2-10;5-12-9
33-2-10;3-18-25
33-2-10;19-106-38
33-2-10;24-9-19
33-2-10;24-10-18
33-2-11;11-22-6
33-2-11;23-9-15
33-2-11;24-6-14
33-2-11;26-13-3
33-2-11;62-4-1
33-2-11;53-2-11
33-2-12;23-11-11
33-2-12;24-31-8
33-2-12;33-4-6
33-2-12;24-23-3
33-2-12;26-34-11
33-2-12;26-36-38
33-2-12;38-8-22
33-2-13;23-45-1
33-2-13;23-59-16
33-3-4;20-1-28
33-3-4;23-1-15
33-3-4;43-9-31
33-3-4;5-31-17
33-3-4;24-33-5
33-3-4;25-3-44
33-3-4;23-3-11
33-3-4;45-2-8
33-3-5;23-9-16
33-3-5;23-56-10
33-3-5;26-13-10
33-3-5;40-15-14
33-3-5;26-13-19
33-3-5;26-34-2
33-3-5;40-7-15
33-3-5;45-16-18
33-3-5;24-23-17
33-3-5;26-13-10
33-3-5;19-55-3
33-3-5;19-120-7
33-3-5;19-140-2
33-3-7;9-9-9
33-3-7;23-29-10
33-3-7;38-13-4
33-3-7;23-44-25
33-3-7;26-24-17
33-3-7;9-28-6
33-3-8;23-11-2
33-3-8;38-4-6
33-3-8;44-4-8
33-3-8;46-2-4
33-3-8;23-58-1
33-3-8;40-3-7
33-3-8;44-7-51
33-3-10;24-22-13
33-3-10;35-2-9
33-3-10;35-2-12
33-3-11;9-8-3
33-3-11;23-1-23
33-3-11;23-5-23
33-3-11;26-22-12
33-3-11;24-6-13
33-3-11;56-1-11
33-3-11;23-56-11
33-3-11;65-1-11
33-3-11;23-48-2
33-3-11;24-7-4
33-3-11;45-2-17
33-3-11;30-9-10
33-4-1;23-2-2
33-4-1;27-12-9
33-4-1;44-2-17
33-4-1;23-11-9
33-4-1;38-8-3
33-4-1;66-21-10
33-4-1;60-2-5
33-4-1;23-2-2
33-4-1;19-86-9
33-4-1;23-60-3
33-4-1;66-15-4
33-4-2;24-31-6
33-4-3;9-2-10
33-4-3;19-96-13
33-4-3;23-51-4
33-4-3;23-51-5
33-4-3;55-3-16
33-4-3;23-60-12
33-4-3;28-2-18
33-4-3;38-9-10
