50-1-1;46-7-22
50-1-1;44-16-12
50-1-1;54-3-1
50-1-1;54-3-8
50-1-5;50-1-27
50-1-11;43-15-5
50-1-11;59-3-18
50-1-11;49-1-14
50-1-13;49-3-1
50-1-13;44-28-31
50-1-13;50-4-22
50-1-14;55-2-9
50-1-15;40-7-22
50-1-15;47-12-20
50-1-15;46-9-17
50-1-15;46-13-2
50-1-16;50-1-7
50-1-17;59-3-14
50-1-17;47-11-28
50-1-18;48-2-4
50-1-18;42-9-50
50-1-20;45-8-19
50-1-20;45-5-5
50-1-20;19-119-46
50-1-20;45-1-16
50-1-20;55-1-8
50-1-20;49-6-20
50-1-20;47-4-10
50-1-20;51-1-24
50-1-20;45-14-8
50-1-20;60-4-16
50-1-21;48-2-20
50-1-21;48-6-14
50-1-21;52-4-14
50-1-21;55-4-8
50-1-21;66-14-13
50-1-22;43-15-16
50-1-23;47-5-6
50-1-23;55-4-6
50-1-23;46-15-42
50-1-23;47-5-8
50-1-25;57-1-22
50-1-27;49-4-1
50-1-27;51-1-10
50-2-1;45-1-12
50-2-1;47-13-14
50-2-1;50-1-8
50-2-1;51-3-12
50-2-1;60-1-22
50-2-3;47-12-20
50-2-3;50-1-15
50-2-3;50-1-17
50-2-3;59-3-14
50-2-3;48-5-26
50-2-3;40-23-11
50-2-3;49-4-2
50-2-3;49-5-21
50-2-6;51-1-15
50-2-6;58-1-3
50-2-6;43-14-28
50-2-7;23-53-3
50-2-7;43-1-14
50-2-7;45-1-3
50-2-8;58-2-9
50-2-8;58-10-5
50-2-8;23-50-5
50-2-8;43-10-17
50-2-8;58-5-8
50-2-8;5-21-23
50-2-8;48-3-13
50-2-9;23-52-13
50-2-9;44-2-33
50-2-9;49-1-21
50-2-9;44-4-12
50-2-10;43-5-23
50-2-11;45-10-9
50-2-11;44-2-36
50-2-11;19-22-27
50-2-14;46-10-10
50-2-14;60-4-9
50-2-14;54-2-8
50-2-16;43-6-68
50-2-16;58-4-12
50-2-16;47-1-14
50-2-16;52-2-19
50-2-16;23-49-4
50-2-16;48-2-2
50-2-16;52-3-5
50-2-17;2-29-40
50-2-17;55-4-6
50-2-17;58-13-15
50-2-17;60-2-5
50-2-20;46-4-17
50-2-20;46-16-10
50-2-21;46-10-24
50-2-21;48-4-17
50-2-21;55-4-10
50-2-24;50-1-25
50-2-24;57-1-22
50-2-27;19-30-3
50-2-27;19-34-19
50-2-29;51-4-10
50-2-29;46-16-18
50-2-29;52-5-12
50-2-30;44-20-24
50-3-1;47-13-11
50-3-1;50-4-4
50-3-1;52-5-16
50-3-2;66-22-15
50-3-2;45-2-28
50-3-2;48-5-2
50-3-3;5-10-16
50-3-3;24-4-4
50-3-3;45-2-29
50-3-3;51-2-11
50-3-3;44-2-17
50-3-3;45-8-26
50-3-3;48-6-14
50-3-3;58-9-14
50-3-3;47-11-18
50-3-5;1-17-12
50-3-5;3-12-3
50-3-5;45-11-1
50-3-5;47-11-22
50-3-5;44-23-6
50-3-5;44-26-5
50-3-6;44-8-3
50-3-6;44-9-1
50-3-6;48-1-13
50-3-7;40-13-44
50-3-8;49-4-13
50-3-8;61-3-18
50-3-9;45-3-20
50-3-9;45-10-3
50-3-9;45-4-5
50-3-9;45-9-30
50-3-9;48-2-16
50-3-9;45-1-17
50-3-9;45-3-21
50-3-10;46-15-22
50-3-10;47-13-4
50-3-10;45-8-17
50-3-10;47-4-10
50-3-10;51-1-24
50-3-10;45-6-5
50-3-11;42-14-14
50-3-11;52-4-16
50-3-11;66-20-6
50-3-12;58-12-23
50-3-12;42-13-24
50-3-12;54-6-12
50-3-12;44-9-15
50-3-13;42-9-62
50-3-13;46-9-24
50-3-14;58-12-1
50-3-14;55-4-8
50-3-14;45-8-30
50-3-14;58-3-1
50-3-15;46-2-6
50-3-15;46-14-20
50-3-15;58-5-14
50-3-15;50-2-5
50-3-16;48-6-16
50-3-17;46-4-16
50-3-17;53-3-9
50-3-18;48-5-11
50-3-18;48-6-12
50-3-19;47-11-15
