51-1-1;49-1-1
51-1-1;46-4-17
51-1-2;43-17-21
51-1-3;46-1-4
51-1-3;50-1-3
51-1-5;49-1-18
51-1-5;55-4-8
51-1-5;58-6-19
51-1-10;49-4-1
51-1-10;33-4-5
51-1-11;49-3-16
51-1-11;45-5-3
51-1-13;42-22-53
51-1-13;49-2-2
51-1-13;45-11-24
51-1-13;43-18-36
51-1-13;58-1-8
51-1-13;20-8-30
51-1-14;49-1-7
51-1-15;43-10-30
51-1-15;43-14-9
51-1-15;47-4-4
51-1-15;43-4-24
51-1-15;54-1-17
51-1-15;66-3-14
51-1-16;43-1-3
51-1-16;49-1-21
51-1-16;43-1-10
51-1-16;58-1-2
51-1-17;43-17-5
51-1-17;58-1-3
51-1-18;49-1-22
51-1-18;66-1-5
51-1-18;46-15-23
51-1-19;43-1-16
51-1-19;51-2-3
51-1-20;47-5-19
51-1-20;49-1-10
51-1-20;49-2-14
51-1-20;3-17-11
51-1-20;23-53-10
51-1-20;58-12-2
51-1-22;45-5-10
51-1-22;49-2-16
51-1-22;58-9-16
51-1-25;49-3-7
51-1-25;42-16-2
51-1-25;46-9-17
51-1-25;49-3-2
51-1-26;49-3-5
51-1-26;49-5-32
51-1-26;42-8-10
51-1-26;46-2-7
51-1-26;45-16-26
51-1-27;45-9-23
51-1-27;47-4-6
51-1-27;49-3-8
51-1-27;49-3-9
51-1-27;49-3-6
51-1-27;49-3-17
51-1-28;44-20-20
51-1-28;46-1-30
51-1-28;51-3-16
51-1-28;49-4-13
51-1-29;42-13-24
51-1-29;49-3-7
51-1-29;50-4-13
51-2-2;47-1-6
51-2-2;51-3-14
51-2-2;49-3-18
51-2-2;46-2-1
51-2-2;46-2-7
51-2-2;49-3-6
51-2-3;46-1-30
51-2-3;46-2-16
51-2-7;49-3-17
51-2-7;49-2-20
51-2-7;40-7-24
51-2-7;65-1-20
51-2-8;58-13-9
51-2-9;49-1-23
51-2-9;51-1-19
51-2-9;44-17-29
51-2-9;43-1-16
51-2-9;45-1-20
51-2-11;40-5-19
51-2-14;44-3-19
51-2-14;2-34-27
51-2-14;5-31-24
51-2-14;12-23-2
51-2-14;49-2-14
51-2-14;58-7-18
51-2-14;5-4-8
51-2-14;49-2-15
51-2-14;45-7-10
51-2-14;48-3-10
51-2-14;43-20-25
51-2-14;48-3-13
51-2-14;58-9-15
51-2-14;60-2-24
51-2-15;49-6-12
51-2-15;62-5-4
51-2-15;66-3-21
51-2-15;19-68-24
51-2-15;47-2-14
51-2-16;45-14-3
51-2-17;2-25-40
51-2-17;58-8-5
51-2-17;58-10-1
51-2-17;43-14-6
51-2-17;58-9-23
51-2-17;58-9-11
51-2-18;45-16-18
51-2-18;49-5-6
51-2-18;61-2-14
51-2-18;62-2-26
51-2-19;49-1-22
51-2-19;49-2-21
51-2-19;49-4-16
51-2-21;3-7-23
51-2-21;3-5-2
51-2-23;54-4-3
51-2-23;45-13-14
51-3-4;43-11-25
51-3-5;48-5-24
51-3-6;45-1-18
51-3-6;49-5-6
51-3-9;19-5-6
51-3-9;19-34-13
51-3-9;49-4-25
51-3-9;66-21-8
51-3-9;49-4-22
51-3-10;45-12-2
51-3-10;49-4-24
51-3-10;1-1-27
51-3-10;60-1-16
51-3-11;48-3-28
51-3-11;49-1-23
51-3-12;60-2-9
51-3-12;50-2-1
51-3-12;45-12-16
51-3-12;56-3-2
51-3-12;60-3-4
51-3-12;47-6-6
51-3-12;49-4-2
51-3-12;52-5-14
51-3-13;20-19-11
51-3-13;49-4-32
51-3-13;60-4-8
51-3-13;40-18-15
51-3-14;45-13-10
51-3-14;62-3-23
51-3-14;46-13-8
51-3-14;49-4-3
51-3-15;43-14-27
51-3-25;45-2-6
51-3-25;46-3-8
51-3-25;48-6-7
51-3-25;5-10-17
51-3-25;45-2-11
51-3-25;60-1-17
51-4-2;42-18-1
51-4-2;45-12-12
51-4-2;49-6-18
51-4-2;51-3-15
51-4-2;52-5-18
51-4-3;45-15-30
51-4-3;46-16-9
51-4-3;49-6-19
51-4-3;50-1-7
51-4-4;49-6-20
51-4-5;40-10-16
51-4-5;52-4-12
51-4-5;59-3-13
51-4-5;49-5-16
51-4-7;49-6-21
51-4-9;57-1-10
51-4-10;44-19-29
51-4-10;44-20-4
51-4-10;44-27-2
51-4-10;57-1-24
51-4-12;51-1-7
51-4-14;42-1-3
51-4-14;44-1-1
51-4-15;45-16-5
51-4-15;46-16-19
51-4-17;57-1-2
51-4-18;46-16-21
51-4-18;53-3-17
51-4-18;50-1-7
51-4-18;57-1-9
51-4-18;58-13-3
