1481;129;54;83;169;67;58;26;65;39;36;24;112;13;8;20;14;69;263;154;35;6;94;44;5;44;38;24;3;12;4;2;18;1;2;2;2;15;13;71;18;75;35;99;76;51;17;36;20;6;10;4;1;19;2;4;0;118;22;29;24;14;0;2;14;39
118;1126;202;205;237;66;17;3;43;18;48;21;37;36;4;37;6;16;233;53;5;5;53;32;1;24;18;6;10;10;0;4;6;3;0;1;0;5;8;43;5;31;21;92;45;35;30;6;17;6;2;2;3;7;6;3;0;103;10;9;4;8;0;0;7;36
41;260;802;163;111;11;6;5;17;9;17;11;12;20;10;16;1;4;47;39;6;0;29;17;2;59;1;4;2;1;0;0;5;0;1;0;1;0;12;23;17;34;12;20;12;32;9;8;14;2;4;1;2;12;1;5;0;108;7;21;0;25;0;0;2;15
169;370;237;1057;233;154;36;6;30;10;10;11;81;22;7;25;0;6;134;20;8;1;22;11;0;19;5;2;2;5;0;1;11;4;1;0;2;0;5;12;6;16;17;21;8;29;5;4;3;0;0;2;0;4;2;2;0;44;7;7;9;2;0;0;11;8
110;290;179;215;690;132;35;8;34;28;50;32;20;52;4;53;2;17;249;122;17;1;82;111;14;55;11;16;6;14;1;4;10;7;4;5;4;10;24;49;10;32;20;40;26;33;13;13;12;6;1;2;1;18;0;1;0;43;19;8;4;14;0;0;4;4
100;94;28;261;284;626;106;1;52;29;36;17;82;16;6;20;1;8;70;32;4;0;21;16;0;4;3;1;0;3;0;2;5;0;0;1;0;3;2;11;1;2;3;17;6;3;1;0;0;2;0;0;0;2;0;0;0;15;7;0;2;1;0;0;0;0
141;77;54;81;150;215;682;4;120;39;36;22;22;41;4;11;3;9;128;65;11;1;31;32;1;6;3;16;3;2;0;0;9;1;1;1;0;6;0;24;1;18;5;8;7;14;3;3;4;1;2;0;0;2;1;0;0;16;4;4;0;1;0;0;1;1
15;6;10;6;27;1;6;64;14;8;3;2;9;0;0;0;1;4;24;18;3;0;8;2;1;2;0;0;0;0;0;0;2;0;0;0;0;0;0;11;0;9;1;1;5;4;1;0;1;1;0;1;1;5;0;1;0;6;3;2;1;0;0;0;0;0
111;78;62;76;126;111;147;22;995;180;62;52;97;33;3;12;4;24;299;186;31;5;63;44;7;15;5;8;3;10;0;0;9;4;2;2;0;8;7;45;3;31;11;42;25;2;12;5;7;4;4;2;2;11;0;4;0;21;19;9;3;7;0;0;2;3
104;58;48;57;91;82;48;17;282;583;127;22;314;31;3;7;5;20;228;110;33;2;37;22;3;9;3;3;5;4;0;3;7;2;2;1;0;5;2;22;3;18;8;26;12;10;1;4;3;3;1;0;0;0;2;1;0;18;5;3;6;3;0;0;0;2
103;129;40;66;170;77;43;4;91;176;588;190;130;405;15;21;9;24;243;131;40;3;90;81;3;59;17;8;2;20;1;5;9;2;6;2;0;7;2;48;4;32;18;41;17;15;11;5;5;1;2;3;2;3;1;2;0;33;9;13;7;7;1;0;2;25
64;61;53;56;179;45;28;3;56;50;348;552;47;310;14;17;6;22;170;85;17;1;227;211;13;68;23;27;1;29;1;4;19;4;3;4;0;10;6;49;12;32;16;28;22;21;9;4;2;2;2;5;2;6;1;0;0;21;6;4;2;2;0;1;2;4
208;107;49;152;101;194;55;16;204;367;131;37;511;120;26;48;1;7;175;46;11;3;45;19;2;14;4;3;1;8;1;0;3;1;0;2;4;3;3;28;1;19;7;20;6;6;6;0;5;4;1;0;2;4;1;1;0;22;3;3;1;2;0;0;2;5
57;152;113;107;226;86;50;3;68;98;557;372;270;641;29;46;3;16;251;119;26;0;116;118;4;26;23;18;4;8;2;1;11;2;3;1;3;13;6;36;5;18;9;31;11;19;4;3;5;5;3;2;1;3;4;0;0;19;10;9;3;4;0;0;1;12
16;35;39;36;44;22;3;0;5;10;23;36;69;60;235;168;17;1;55;15;3;0;26;25;4;8;28;1;0;0;0;1;2;0;0;1;25;20;2;5;0;5;2;7;4;0;4;0;3;1;2;0;0;1;0;0;0;1;3;2;0;0;0;0;0;3
35;56;45;65;110;68;14;1;15;27;37;23;93;72;192;343;11;3;122;34;10;1;22;43;6;11;15;0;2;6;0;1;5;0;1;3;3;8;5;18;0;16;9;22;5;6;3;0;2;3;4;0;1;3;1;1;0;10;2;1;0;2;0;0;0;4
17;11;2;5;14;1;1;0;14;4;5;2;1;5;9;9;313;3;61;52;8;2;10;8;1;5;36;2;5;2;2;0;4;1;0;1;0;2;0;16;2;9;1;2;3;2;0;3;6;0;0;0;1;2;0;0;0;0;3;3;1;0;0;0;0;1
53;21;7;11;25;3;2;2;18;6;10;8;3;7;3;7;2;246;235;98;33;0;82;56;11;11;12;9;0;8;1;6;1;2;4;1;0;3;6;24;1;14;7;9;28;13;4;4;3;0;0;4;0;1;0;2;0;12;23;11;5;3;0;0;3;13
132;184;30;87;208;54;42;2;116;135;58;39;65;52;9;58;16;157;2347;205;34;6;380;193;41;55;43;29;10;15;3;14;29;12;21;8;2;28;20;113;15;105;42;87;81;42;24;11;18;17;3;5;6;14;13;5;1;95;26;38;22;9;0;0;6;99
106;53;34;23;100;13;20;8;103;69;73;16;9;21;3;17;36;84;445;1239;99;13;122;80;3;20;29;22;3;10;0;1;23;1;10;5;1;7;17;129;15;85;57;64;68;50;36;24;46;19;19;19;8;25;33;7;0;74;73;38;25;16;2;3;6;37
61;16;1;8;30;4;4;0;32;19;67;9;2;19;2;6;8;66;168;146;191;6;50;20;0;5;14;7;1;5;0;3;3;0;2;0;1;2;2;38;6;41;17;14;31;10;11;5;7;4;3;1;0;9;4;4;0;7;24;10;9;6;1;1;1;10
7;7;0;3;7;3;2;0;2;5;8;1;1;1;0;3;2;1;33;9;7;129;18;5;1;3;0;1;0;0;0;0;1;1;0;0;1;1;0;4;0;3;14;0;3;4;4;2;3;1;1;0;0;2;0;0;0;2;0;3;1;1;0;0;0;13
115;101;56;44;239;42;31;5;49;31;61;259;17;128;36;43;12;79;919;125;26;5;1498;568;49;229;70;111;34;65;7;6;82;33;40;40;15;103;50;169;16;116;73;78;124;50;24;18;25;14;5;9;12;9;5;8;0;98;28;48;20;8;0;0;4;178
77;54;75;45;245;61;47;2;34;26;93;294;44;174;35;54;7;59;471;113;7;1;634;1800;77;350;71;113;29;76;15;10;77;15;25;56;5;72;23;38;3;37;11;47;35;17;12;6;0;3;1;9;4;3;3;2;0;29;16;10;5;3;0;1;2;77
3;4;10;2;37;2;2;2;5;1;4;12;1;8;1;5;0;30;149;14;0;0;61;126;42;20;5;11;2;5;1;2;11;1;3;4;1;6;1;2;0;1;0;0;2;1;1;0;0;0;0;0;0;0;1;0;0;3;5;2;1;0;0;0;0;0
97;112;189;63;176;47;12;2;31;18;76;130;25;110;9;21;4;30;256;68;4;6;370;538;53;1109;43;63;20;43;13;5;38;16;12;36;2;54;16;37;5;37;13;34;32;6;7;14;3;1;1;0;2;5;0;0;0;28;9;9;21;2;1;0;4;86
31;12;8;11;21;3;2;0;12;11;16;11;6;16;19;15;23;18;177;59;10;1;123;82;7;28;500;3;4;3;0;1;5;1;6;1;1;7;4;55;7;45;16;30;9;11;6;5;3;4;3;3;1;3;6;0;0;18;5;6;2;5;0;0;4;106
17;9;10;4;56;5;11;0;15;4;25;68;1;12;3;4;0;8;67;31;1;0;136;146;8;78;6;90;6;34;0;0;32;2;5;5;1;20;8;7;0;9;2;2;12;2;0;1;0;0;0;0;0;0;0;1;0;5;3;2;1;1;0;0;0;6
2;3;5;1;12;0;0;0;0;1;3;0;0;6;0;1;0;1;21;4;0;0;26;26;1;10;0;4;18;13;3;1;6;2;1;13;1;6;3;3;1;3;1;8;2;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;2;0;0;0;0;11
6;13;12;4;15;2;3;0;4;2;20;25;1;11;1;3;0;8;33;14;2;0;55;63;5;35;5;22;9;39;4;1;9;3;1;7;0;7;1;3;0;2;2;6;4;1;1;0;0;0;0;0;0;0;0;0;0;4;1;2;1;0;0;1;0;2
3;0;0;1;1;1;0;0;0;0;1;4;0;1;0;1;0;0;9;3;0;0;9;22;2;7;0;0;5;7;1;0;2;0;0;0;0;5;3;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;1
10;2;0;1;2;4;0;0;2;1;2;1;0;4;1;1;0;1;41;2;1;0;7;6;0;6;3;3;4;3;0;10;1;1;1;2;0;0;0;12;0;4;0;9;2;2;1;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;2
8;6;5;7;18;9;2;0;8;5;10;19;2;6;0;6;1;2;76;16;0;0;105;54;5;35;4;22;4;7;2;0;9;0;3;2;1;17;1;13;1;19;11;8;12;3;1;2;5;0;2;0;3;0;2;1;0;2;3;1;2;2;0;0;1;9
4;4;1;1;6;5;1;0;1;1;1;6;0;5;0;1;0;3;32;3;0;0;37;24;0;7;1;3;5;2;1;0;3;4;3;6;0;1;2;2;0;2;0;0;3;1;0;0;1;0;0;0;0;0;0;0;0;2;0;0;1;0;0;0;1;6
